	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NODE_69856_length_604_cov_410.035651_g26341_i0	NODE_69856_length_604_cov_410.035651_g26341_i0	719.259178007302	-4.60031286223136	0.149613135536056	-30.7480546126427	1.29824066784823e-207	1.63760077842376e-203
NODE_60660_length_861_cov_520.463325_g17614_i1	NODE_60660_length_861_cov_520.463325_g17614_i1	778.71287798984	-3.7116782730478	0.126293930829699	-29.3892053930352	7.54509446639431e-190	4.75869107995489e-186
NODE_33125_length_2030_cov_1007.464519_g8431_i1	NODE_33125_length_2030_cov_1007.464519_g8431_i1	9605.42085546945	-1.92700577970109	0.0674852876424914	-28.5544575272399	2.47287683327225e-179	1.0397622791632e-175
NODE_70396_length_592_cov_1334.981785_g26828_i0	NODE_70396_length_592_cov_1334.981785_g26828_i0	3695.34263697546	-2.15118484646517	0.076355248751487	-28.1733722519406	1.23977461769962e-174	3.90962925691575e-171
NODE_55400_length_1040_cov_442.222668_g16580_i0	NODE_55400_length_1040_cov_442.222668_g16580_i0	2392.30505606802	-2.20810363120727	0.0812777963986482	-27.1673658618529	1.57892300807746e-162	3.98330696477783e-159
NODE_54076_length_1087_cov_1069.388889_g8431_i4	NODE_54076_length_1087_cov_1069.388889_g8431_i4	10316.6508523015	-1.71009720862311	0.0654359685882332	-26.1339022790995	1.50208804725933e-150	3.15788977135487e-147
NODE_69604_length_610_cov_1117.114638_g26131_i0	NODE_69604_length_610_cov_1117.114638_g26131_i0	1799.65157705071	-2.30923393049572	0.0887708735137217	-26.0134190313985	3.49145231712085e-149	6.29159707545177e-146
NODE_52579_length_1145_cov_467.079855_g15210_i0	NODE_52579_length_1145_cov_467.079855_g15210_i0	943.022026496828	-2.67410812698183	0.104757054269203	-25.5267594687223	9.949093633597321e-144	1.56872333867746e-140
NODE_61938_length_821_cov_78.356041_g20323_i0	NODE_61938_length_821_cov_78.356041_g20323_i0	730.484671236012	3.16857515288336	0.127078762105347	24.9339472653712	3.1888839013767e-137	4.46939794799619e-134
NODE_36845_length_1834_cov_427.977666_g9563_i0	NODE_36845_length_1834_cov_427.977666_g9563_i0	792.951735379603	-2.68513646137981	0.111899847695747	-23.9958902239138	3.0695465104704398e-127	3.87192596830742e-124
NODE_60170_length_877_cov_763.161871_g14550_i1	NODE_60170_length_877_cov_763.161871_g14550_i1	1682.47991512833	-2.05066581822363	0.0877706131342356	-23.3639226729265	9.949744640890421e-121	1.14096435363811e-117
NODE_24967_length_2532_cov_403.345119_g5897_i1	NODE_24967_length_2532_cov_403.345119_g5897_i1	937.215794740012	-2.36557938879588	0.105361322004555	-22.4520663160776	1.2215937753882401e-111	1.28409865689561e-108
NODE_47577_length_1349_cov_864.607963_g8431_i3	NODE_47577_length_1349_cov_864.607963_g8431_i3	3916.86368138537	-1.80605687469754	0.0820929352397225	-22.0001498231682	2.8702889104033797e-107	2.7850634089098702e-104
NODE_31099_length_2145_cov_978.660799_g7863_i0	NODE_31099_length_2145_cov_978.660799_g7863_i0	7010.50572004321	-1.51728036566602	0.0711915236422826	-21.3126547661759	8.6640812512594e-101	7.80633720738472e-98
NODE_45254_length_1446_cov_580.512473_g12349_i0	NODE_45254_length_1446_cov_580.512473_g12349_i0	424.859931535584	-3.17200122813336	0.14887189236749	-21.3069181676235	9.79331103606788e-101	8.235521693930691e-98
NODE_61354_length_839_cov_358.285176_g18821_i2	NODE_61354_length_839_cov_358.285176_g18821_i2	2623.62952225414	-1.68601344565675	0.0795068186715327	-21.2058974793369	8.42482870422862e-100	6.64192432969623e-97
NODE_55119_length_1049_cov_440.156064_g16443_i0	NODE_55119_length_1049_cov_440.156064_g16443_i0	3154.46614764026	-1.61667281807766	0.0764135808752547	-21.156878130301	2.38500198317372e-99	1.7696714715149e-96
NODE_67636_length_659_cov_396.870130_g24498_i0	NODE_67636_length_659_cov_396.870130_g24498_i0	298.467210469827	-4.08431929003056	0.201343704532135	-20.2853091410101	1.73369699560745e-91	1.2149363279218001e-88
NODE_24058_length_2598_cov_603.844618_g5029_i3	NODE_24058_length_2598_cov_603.844618_g5029_i3	501.403218250883	-2.39846452447427	0.132419472824688	-18.1126270427737	2.53363910250246e-73	1.68206966520874e-70
NODE_59445_length_902_cov_666.019790_g13963_i2	NODE_59445_length_902_cov_666.019790_g13963_i2	1276.38682229618	-1.61949728225386	0.0904113505808382	-17.912543854832	9.41333887333579e-72	5.93699282741288e-69
NODE_67563_length_661_cov_298.501618_g24441_i0	NODE_67563_length_661_cov_298.501618_g24441_i0	1383.18004632553	-1.66292935852489	0.0939482322203046	-17.7004858870084	4.1570515832910495e-70	2.4970023176968202e-67
NODE_68319_length_642_cov_437.781302_g25060_i0	NODE_68319_length_642_cov_437.781302_g25060_i0	216.322017847983	-3.90891963929576	0.223581058430602	-17.4832325543761	1.92282830457502e-68	1.10247982881406e-65
NODE_64714_length_737_cov_385.246398_g10503_i3	NODE_64714_length_737_cov_385.246398_g10503_i3	202.146524429379	-4.04152265895203	0.23477914102436	-17.2141470546257	2.07989452395524e-66	1.14068650109441e-63
NODE_57401_length_970_cov_451.989213_g17614_i0	NODE_57401_length_970_cov_451.989213_g17614_i0	210.131504398538	-3.60100092709418	0.219757868462982	-16.3862206722339	2.3990414530196202e-60	1.26089620368289e-57
NODE_57742_length_959_cov_361.540393_g17411_i1	NODE_57742_length_959_cov_361.540393_g17411_i1	614.555705933106	-1.92244524441308	0.117631633314663	-16.3429274102703	4.8850093741837303e-60	2.46478032983814e-57
NODE_104238_length_233_cov_469.047368_g60257_i0	NODE_104238_length_233_cov_469.047368_g60257_i0	10379.4327539686	-1.20735127126338	0.0744624291176325	-16.2142342866099	4.0003212462314205e-59	1.9407712384601198e-56
NODE_84365_length_366_cov_421.201238_g40387_i0	NODE_84365_length_366_cov_421.201238_g40387_i0	167.717245683412	-4.05806439364724	0.259709329702498	-15.6254085992822	4.8877828635326394e-55	2.2834997422444702e-52
NODE_78004_length_449_cov_1460.539409_g34059_i0	NODE_78004_length_449_cov_1460.539409_g34059_i0	193.45446972607	-3.41303175563055	0.220103802979481	-15.5064642656299	3.1368314225291604e-54	1.41314255584939e-51
