	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
NODE_61938_length_821_cov_78.356041_g20323_i0	NODE_61938_length_821_cov_78.356041_g20323_i0	1174.98713299888	4.71718199810721	0.124381524103714	37.9251020768474	0.0	0.0
NODE_54812_length_1061_cov_16.372299_g16298_i0	NODE_54812_length_1061_cov_16.372299_g16298_i0	2100.1275847435	2.69248085501333	0.0902594120341655	29.8304719068429	1.57321867822594e-195	1.28280251022543e-191
NODE_67158_length_672_cov_9.523052_g24107_i0	NODE_67158_length_672_cov_9.523052_g24107_i0	1832.79624407997	2.72947021179511	0.0972729851003881	28.0598997653688	3.0247690724055404e-173	1.6442644677596502e-169
NODE_60533_length_865_cov_411.037713_g19428_i0	NODE_60533_length_865_cov_411.037713_g19428_i0	8159.71287979889	2.24969489180727	0.0813388906762019	27.6582932605139	2.21817022057794e-168	9.04347998929628e-165
NODE_76400_length_474_cov_168.814385_g32489_i0	NODE_76400_length_474_cov_168.814385_g32489_i0	3121.43049795767	2.35127330959667	0.0884786114254283	26.5744824847118	1.3390707469412201e-155	4.367513148223501e-152
NODE_56578_length_997_cov_553.798742_g17185_i0	NODE_56578_length_997_cov_553.798742_g17185_i0	32332.9017159082	1.87306136865222	0.0710190425393145	26.3740723850978	2.7184636141051397e-153	7.38878410313778e-150
NODE_45129_length_1451_cov_574.861506_g9030_i3	NODE_45129_length_1451_cov_574.861506_g9030_i3	1048.34699665927	2.86606131750289	0.110284290121854	25.9879382125609	6.7788908417982005e-149	1.5792878835435e-145
NODE_70174_length_597_cov_351.611913_g26627_i0	NODE_70174_length_597_cov_351.611913_g26627_i0	514.0181511771	3.72321230064884	0.147262683422029	25.282795438263	4.93894475118738e-141	1.00680388752955e-137
NODE_68278_length_643_cov_757.991667_g25023_i0	NODE_68278_length_643_cov_757.991667_g25023_i0	606.914664019439	3.36004882221012	0.135580312695581	24.7827192267542	1.37690999788121e-135	2.4949609161607602e-132
NODE_82666_length_385_cov_645.608187_g38694_i0	NODE_82666_length_385_cov_645.608187_g38694_i0	35817.5929863386	2.22066052028188	0.09028186738089	24.5969715149238	1.36104494783757e-133	2.2195921009335e-130
NODE_65155_length_724_cov_329.552129_g22559_i0	NODE_65155_length_724_cov_329.552129_g22559_i0	2512.67500084507	2.15205568226422	0.088053272075703	24.440382867476	6.36859963438733e-132	9.44173843978078e-129
NODE_79762_length_423_cov_217.286842_g35802_i0	NODE_79762_length_423_cov_217.286842_g35802_i0	4112.14512188613	2.29129899836346	0.0948830611338204	24.1486622689362	7.71220744937677e-129	1.0480889923703e-125
NODE_48268_length_1320_cov_237.943618_g4427_i2	NODE_48268_length_1320_cov_237.943618_g4427_i2	496.151825287234	3.49817177437532	0.146668120670088	23.8509347388723	9.90275276916912e-126	1.2422622473816199e-122
NODE_40297_length_1668_cov_702.177231_g1000_i10	NODE_40297_length_1668_cov_702.177231_g1000_i10	606.656899965541	3.07177150729731	0.131238514483571	23.4060216193764	3.7108852655444703e-121	4.3226512078928e-118
NODE_33339_length_2018_cov_1002.840000_g8431_i2	NODE_33339_length_2018_cov_1002.840000_g8431_i2	9727.92513632949	1.81907963076771	0.0784233142799414	23.1956484811938	5.03778116419246e-119	5.477075681710039e-116
NODE_120375_length_169_cov_207.730159_g76394_i0	NODE_120375_length_169_cov_207.730159_g76394_i0	1159.44405106637	2.48190827890114	0.10706087612005	23.182215285798	6.88292943673119e-119	7.01542582838826e-116
NODE_68999_length_625_cov_920.829897_g25626_i0	NODE_68999_length_625_cov_920.829897_g25626_i0	5369.53416610057	2.13618237306486	0.0938902211282557	22.7519154539725	1.3737015149944799e-114	1.31778378273706e-111
NODE_74236_length_514_cov_289.528662_g30381_i0	NODE_74236_length_514_cov_289.528662_g30381_i0	708.001290082337	2.71300084038888	0.120807176117137	22.4572821548141	1.08633000693067e-111	9.84214986279184e-109
NODE_60195_length_876_cov_639.110444_g19232_i0	NODE_60195_length_876_cov_639.110444_g19232_i0	2727.43162088194	2.3217616964636	0.104071901276546	22.3092080377592	3.0077385542519804e-110	2.58158949172322e-107
NODE_41536_length_1610_cov_504.883854_g9030_i2	NODE_41536_length_1610_cov_504.883854_g9030_i2	750.626056946615	2.77979076130452	0.125711820034803	22.1124056634846	2.40123448420042e-108	1.95796659841702e-105
NODE_61411_length_837_cov_211.617128_g19983_i0	NODE_61411_length_837_cov_211.617128_g19983_i0	1120.81089088252	2.2387335450698	0.101944164763362	21.9603893000297	6.890621017838179e-107	5.35105940756691e-104
NODE_81920_length_394_cov_986.168091_g37951_i0	NODE_81920_length_394_cov_986.168091_g37951_i0	19831.9365299163	1.87262691518028	0.0856271880190666	21.8695365164077	5.06695537482935e-106	3.75599582966896e-103
NODE_73540_length_527_cov_338.983471_g29720_i0	NODE_73540_length_527_cov_338.983471_g29720_i0	734.281953243664	2.54364624718666	0.118620428991044	21.4435765308074	5.24257477028387e-102	3.71721345016476e-99
NODE_83988_length_370_cov_362.706422_g40011_i0	NODE_83988_length_370_cov_362.706422_g40011_i0	282.72046334008	4.88668087904248	0.228678105890125	21.3692555306997	2.5821717719269298e-101	1.75458571902435e-98
NODE_67412_length_665_cov_189.963023_g24313_i0	NODE_67412_length_665_cov_189.963023_g24313_i0	567.976159470688	2.79431378492606	0.132031827560327	21.1639408206276	2.05323837511174e-99	1.33936845685289e-96
NODE_77157_length_462_cov_334.236277_g33225_i0	NODE_77157_length_462_cov_334.236277_g33225_i0	394.597512917111	3.3794371540163	0.160281756781321	21.0843530909573	1.1071697330361502e-98	6.94450923321288e-96
NODE_59588_length_897_cov_999.225995_g18855_i0	NODE_59588_length_897_cov_999.225995_g18855_i0	10052.3604116242	1.77235502044811	0.0844023455521483	20.9988834890027	6.71450089517543e-98	4.05555854068596e-95
NODE_68836_length_629_cov_403.313993_g25489_i0	NODE_68836_length_629_cov_403.313993_g25489_i0	8147.29350785472	1.71405999747637	0.082131807401572	20.8696247130629	1.0112447948961399e-96	5.8897786125594e-94
NODE_70819_length_582_cov_601.601113_g27209_i0	NODE_70819_length_582_cov_601.601113_g27209_i0	255.3639125809	4.55222715409855	0.220810257896963	20.6160130306209	1.9715173901368698e-94	1.1086726068397301e-91
NODE_59016_length_916_cov_1004.394044_g18529_i0	NODE_59016_length_916_cov_1004.394044_g18529_i0	15541.1553322708	1.49196332647502	0.0726134992085977	20.5466386103917	8.24804382401868e-94	4.4836366227365605e-91
NODE_39135_length_1724_cov_496.291493_g9155_i1	NODE_39135_length_1724_cov_496.291493_g9155_i1	355.932536463785	3.46401585248615	0.169067335175874	20.4889717394709	2.70036236079074e-93	1.42056481870243e-90
NODE_48493_length_1309_cov_283.065561_g13547_i0	NODE_48493_length_1309_cov_283.065561_g13547_i0	3993.62284804052	1.65378083691416	0.0819428128633488	20.1821340899301	1.40545465877287e-90	7.16254830477125e-88
NODE_44334_length_1487_cov_299.011080_g12045_i0	NODE_44334_length_1487_cov_299.011080_g12045_i0	497.978796304233	3.0105316110805	0.150127440084109	20.0531735530417	1.89371070566031e-89	9.35837399633587e-87
NODE_51256_length_1198_cov_554.492641_g9873_i1	NODE_51256_length_1198_cov_554.492641_g9873_i1	524.50365984613	2.7232910279519	0.136513966345682	19.9488089083571	1.53501738808265e-88	7.36266575436819e-86
NODE_54954_length_1055_cov_409.199605_g10_i11483	NODE_54954_length_1055_cov_409.199605_g10_i11483	287.96743159954	3.69554837963481	0.186925705303056	19.7701454363558	5.38205972185902e-87	2.50773228411648e-84
NODE_52587_length_1145_cov_187.568058_g15216_i0	NODE_52587_length_1145_cov_187.568058_g15216_i0	757.731963571731	2.27027614088509	0.114971089131831	19.7464959063046	8.59806375222195e-87	3.89492287975654e-84
NODE_22759_length_2692_cov_533.601359_g2390_i6	NODE_22759_length_2692_cov_533.601359_g2390_i6	551.36487160631	2.64229580953674	0.134798297705401	19.6018484989433	1.49107825638451e-85	6.572028163545549e-83
NODE_56699_length_993_cov_366.912632_g11784_i3	NODE_56699_length_993_cov_366.912632_g11784_i3	234.102864420442	4.37595172924539	0.223627402592474	19.5680479159339	2.89561970749423e-85	1.24267805762673e-82
NODE_48839_length_1294_cov_532.666667_g13701_i0	NODE_48839_length_1294_cov_532.666667_g13701_i0	486.341065524728	2.97172089675656	0.152245452148619	19.5192753203271	7.52986359627839e-85	3.14864142379764e-82
NODE_20726_length_2850_cov_705.433915_g830_i19	NODE_20726_length_2850_cov_705.433915_g830_i19	1694.09488656327	1.75012506386213	0.0912470731828236	19.1800679497474	5.43093492951969e-82	2.2141921707651798e-79
NODE_84364_length_366_cov_1209.777090_g40386_i0	NODE_84364_length_366_cov_1209.777090_g40386_i0	17534.8895731338	1.75448917851644	0.0922303574168603	19.022903387293	1.10208205740607e-80	4.3835985834581e-78
NODE_69855_length_604_cov_673.962567_g15769_i1	NODE_69855_length_604_cov_673.962567_g15769_i1	1764.55111655915	1.85421955692078	0.0975111225382767	19.0154672477791	1.27000309084528e-80	4.93124057273924e-78
NODE_15196_length_3397_cov_257.655337_g3682_i0	NODE_15196_length_3397_cov_257.655337_g3682_i0	218.323724643332	4.34825111489107	0.229375384633395	18.9569213010401	3.87153390180126e-80	1.4683017411761599e-77
NODE_28716_length_2288_cov_302.936748_g5989_i4	NODE_28716_length_2288_cov_302.936748_g5989_i4	1673.63735059712	1.76833228046932	0.0934906156637529	18.9145431112496	8.65674276951629e-80	3.2085036610289003e-77
NODE_55067_length_1051_cov_242.860119_g10346_i5	NODE_55067_length_1051_cov_242.860119_g10346_i5	292.287936767988	3.71748097112733	0.19919976938223	18.6620746733603	1.0074283474702699e-77	3.65092033123224e-75
NODE_119872_length_171_cov_659.781250_g75891_i0	NODE_119872_length_171_cov_659.781250_g75891_i0	1039.82881017525	1.91641489491223	0.102930750882359	18.6184874635038	2.2755090858512e-77	8.06717438523075e-75
NODE_71686_length_563_cov_525.023077_g27991_i0	NODE_71686_length_563_cov_525.023077_g27991_i0	2529.88219672848	1.64331123280768	0.0883213897241119	18.6060391252998	2.8707133914548496e-77	9.96076467826503e-75
