	Primary_polyp_DMSO_1	Primary_polyp_DMSO_2	Primary_polyp_DMSO_3	Primary_polyp_AZK_1	Primary_polyp_AZK_2	Primary_polyp_AZK_3
NODE_69856_length_604_cov_410.035651_g26341_i0	1152	1311	1280	59	65	68
NODE_60660_length_861_cov_520.463325_g17614_i1	1337	1294	1286	126	127	119
NODE_33125_length_2030_cov_1007.464519_g8431_i1	14017	14390	12801	4396	4345	4746
NODE_70396_length_592_cov_1334.981785_g26828_i0	5442	5325	5561	1526	1548	1500
NODE_55400_length_1040_cov_442.222668_g16580_i0	3651	3597	3403	919	983	966
NODE_54076_length_1087_cov_1069.388889_g8431_i4	14328	14794	13685	5475	5078	5734
NODE_69604_length_610_cov_1117.114638_g26131_i0	2744	2869	2502	661	692	683
NODE_52579_length_1145_cov_467.079855_g15210_i0	1439	1560	1419	285	283	293
NODE_61938_length_821_cov_78.356041_g20323_i0	126	136	134	1453	1532	1442
NODE_36845_length_1834_cov_427.977666_g9563_i0	1263	1242	1211	238	241	240
NODE_60170_length_877_cov_763.161871_g14550_i1	2516	2398	2423	725	747	732
NODE_24967_length_2532_cov_403.345119_g5897_i1	1405	1389	1455	346	344	336
NODE_47577_length_1349_cov_864.607963_g8431_i3	5397	5541	5556	1920	2097	1846
NODE_31099_length_2145_cov_978.660799_g7863_i0	9645	9222	9260	4248	3860	4124
NODE_45254_length_1446_cov_580.512473_g12349_i0	681	722	669	96	93	97
NODE_61354_length_839_cov_358.285176_g18821_i2	3691	3631	3517	1304	1439	1450
NODE_55119_length_1049_cov_440.156064_g16443_i0	4400	4299	4182	1644	1790	1794
NODE_67636_length_659_cov_396.870130_g24498_i0	458	530	539	38	36	38
NODE_24058_length_2598_cov_603.844618_g5029_i3	718	834	733	178	173	188
NODE_59445_length_902_cov_666.019790_g13963_i2	1771	1781	1664	694	705	713
NODE_67563_length_661_cov_298.501618_g24441_i0	1909	2020	1768	688	748	803
NODE_68319_length_642_cov_437.781302_g25060_i0	378	360	360	28	32	31
NODE_64714_length_737_cov_385.246398_g10503_i3	343	346	343	28	24	26
NODE_57401_length_970_cov_451.989213_g17614_i0	357	341	353	34	30	44
NODE_57742_length_959_cov_361.540393_g17411_i1	904	899	831	279	281	305
NODE_104238_length_233_cov_469.047368_g60257_i0	13243	12768	13196	6871	7440	6808
NODE_84365_length_366_cov_421.201238_g40387_i0	290	267	299	21	22	21
NODE_78004_length_449_cov_1460.539409_g34059_i0	333	327	298	35	35	42
NODE_10455_length_4045_cov_509.713393_g10_i2982	1211	1192	1175	489	510	494
NODE_104004_length_234_cov_1035.371728_g60023_i0	349	412	268	25	24	37
NODE_90912_length_308_cov_733.928302_g46934_i0	10916	9936	10046	5164	5836	5479
NODE_58576_length_930_cov_438.255919_g18289_i0	2221	2259	2277	1170	1183	1164
NODE_78330_length_444_cov_366.615960_g34382_i0	248	284	294	22	24	21
NODE_61572_length_832_cov_375.176172_g13484_i2	272	354	288	5	5	6
NODE_59148_length_912_cov_150.361335_g18600_i0	320	341	383	52	50	55
NODE_47558_length_1350_cov_507.627391_g13172_i0	239	263	264	19	22	21
NODE_60632_length_862_cov_543.514042_g1886_i14	448	378	368	63	74	55
NODE_42179_length_1583_cov_372.043506_g11310_i0	671	626	663	214	209	202
NODE_60379_length_870_cov_428.627570_g19333_i0	6876	6882	7162	4318	4381	4355
NODE_84273_length_367_cov_1094.058642_g40295_i0	229	250	231	21	18	20
NODE_67280_length_668_cov_655.956800_g24212_i0	5437	4987	4823	2487	2871	2841
NODE_104005_length_234_cov_641.649215_g60024_i0	29048	28574	27518	17847	18654	17382
NODE_121387_length_165_cov_721.049180_g77406_i0	16838	15010	14873	8464	9310	9326
NODE_43848_length_1509_cov_534.407913_g10_i9967	681	655	635	220	231	214
NODE_70174_length_597_cov_351.611913_g26627_i0	107	115	111	601	598	673
NODE_60414_length_869_cov_349.640436_g18821_i1	1570	1603	1502	747	814	792
NODE_83630_length_374_cov_783.646526_g39654_i0	10974	10217	10932	5989	6636	6233
NODE_40210_length_1672_cov_751.866789_g7863_i2	810	833	701	272	243	304
NODE_44142_length_1495_cov_485.632920_g11980_i0	906	945	902	397	391	402
NODE_83988_length_370_cov_362.706422_g40011_i0	25	27	33	380	351	337
NODE_55241_length_1045_cov_477.651697_g10_i11521	2144	2111	2089	1132	1209	1173
NODE_54277_length_1079_cov_558.207529_g10_i11424	1125	1090	1222	525	501	502
NODE_54812_length_1061_cov_16.372299_g16298_i0	866	884	838	2366	2362	2387
NODE_66129_length_697_cov_402.477064_g23300_i0	775	790	818	320	332	315
NODE_44606_length_1475_cov_431.581006_g12141_i0	1258	1271	1294	640	642	622
NODE_43849_length_1509_cov_455.465211_g10_i9968	2604	2511	2605	1484	1485	1411
NODE_54360_length_1076_cov_686.294288_g16046_i0	336	349	357	82	71	82
NODE_39538_length_1704_cov_115.721854_g10431_i0	188	190	210	8	8	9
NODE_67158_length_672_cov_9.523052_g24107_i0	729	740	739	2146	2009	2072
NODE_68278_length_643_cov_757.991667_g25023_i0	170	159	166	711	720	733
NODE_92686_length_295_cov_46.126984_g48707_i0	192	218	195	6	4	5
NODE_117871_length_179_cov_23.044118_g73890_i0	10741	9875	8665	4778	5701	5269
NODE_52881_length_1133_cov_348.866972_g15343_i0	1787	1731	1856	985	1001	977
NODE_68487_length_638_cov_1170.006723_g25203_i0	185	220	207	22	20	21
NODE_48268_length_1320_cov_237.943618_g4427_i2	121	124	126	594	592	597
NODE_70819_length_582_cov_601.601113_g27209_i0	32	31	33	321	316	321
NODE_38233_length_1767_cov_716.494780_g6093_i1	361	355	380	104	98	102
NODE_64748_length_736_cov_454.318903_g22254_i0	1078	1097	1038	535	563	581
NODE_86345_length_346_cov_337.092409_g42367_i0	2804	2595	2627	1584	1623	1500
NODE_60194_length_876_cov_1059.810324_g19231_i0	28424	29603	31150	21160	20443	20350
NODE_45129_length_1451_cov_574.861506_g9030_i3	378	394	391	1233	1168	1204
NODE_70679_length_586_cov_31.097606_g27086_i0	1600	1683	1649	979	981	1048
NODE_41514_length_1611_cov_375.196429_g5989_i5	3224	3287	3366	2115	2230	2234
NODE_43847_length_1509_cov_550.082538_g10_i9966	535	558	490	207	208	214
