	KO definition	gene name	counts
619	collagen type IV alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_3', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_4', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_5', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_2', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	25
635	collagen type XXI alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_3', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	23
636	collagen type XXII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	21
1032	macrophage receptor with collagenous structure	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	21
625	collagen type X alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_2', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	20
651	complement C1q subcomponent subunit C	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	20
1285	otolin-1	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_5', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_55119_length_1049_cov_440.156064_g16443_i0_4', 'NODE_55400_length_1040_cov_442.222668_g16580_i0_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	19
617	collagen type II alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_3', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_4', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_2', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	19
622	collagen type VI alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_24967_length_2532_cov_403.345119_g5897_i1_3', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_31387_length_2129_cov_555.093960_g4675_i1_6', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_67158_length_672_cov_9.523052_g24107_i0_5', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	18
632	collagen type XVII alpha	['NODE_24058_length_2598_cov_603.844618_g5029_i3_4', 'NODE_24058_length_2598_cov_603.844618_g5029_i3_5', 'NODE_31099_length_2145_cov_978.660799_g7863_i0_2', 'NODE_33125_length_2030_cov_1007.464519_g8431_i1_5', 'NODE_36845_length_1834_cov_427.977666_g9563_i0_5', 'NODE_40210_length_1672_cov_751.866789_g7863_i2_4', 'NODE_40297_length_1668_cov_702.177231_g1000_i10_2', 'NODE_47577_length_1349_cov_864.607963_g8431_i3_2', 'NODE_48698_length_1300_cov_944.549722_g7438_i6_1', 'NODE_54076_length_1087_cov_1069.388889_g8431_i4_4', 'NODE_54360_length_1076_cov_686.294288_g16046_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_3', 'NODE_54812_length_1061_cov_16.372299_g16298_i0_5', 'NODE_54889_length_1057_cov_1276.558185_g5029_i5_4', 'NODE_60194_length_876_cov_1059.810324_g19231_i0_4', 'NODE_67158_length_672_cov_9.523052_g24107_i0_3', 'NODE_73238_length_532_cov_1080.766871_g29440_i0_4']	17
