	Primary_polyp_DMSO_1	Primary_polyp_DMSO_2	Primary_polyp_DMSO_3	Primary_polyp_AZK_1	Primary_polyp_AZK_2	Primary_polyp_AZK_3
NODE_61938_length_821_cov_78.356041_g20323_i0	126	136	134	1453	1532	1442
NODE_54812_length_1061_cov_16.372299_g16298_i0	866	884	838	2366	2362	2387
NODE_67158_length_672_cov_9.523052_g24107_i0	729	740	739	2146	2009	2072
NODE_60533_length_865_cov_411.037713_g19428_i0	4298	4275	4454	8921	8658	8788
NODE_76400_length_474_cov_168.814385_g32489_i0	1609	1560	1532	3419	3435	3352
NODE_56578_length_997_cov_553.798742_g17185_i0	20842	21369	21538	32567	33029	33803
NODE_45129_length_1451_cov_574.861506_g9030_i3	378	394	391	1233	1168	1204
NODE_70174_length_597_cov_351.611913_g26627_i0	107	115	111	601	598	673
NODE_68278_length_643_cov_757.991667_g25023_i0	170	159	166	711	720	733
NODE_82666_length_385_cov_645.608187_g38694_i0	20078	18779	19250	41136	36950	37115
NODE_65155_length_724_cov_329.552129_g22559_i0	1364	1447	1434	2703	2673	2645
NODE_79762_length_423_cov_217.286842_g35802_i0	2067	2111	2233	4754	4262	4324
NODE_48268_length_1320_cov_237.943618_g4427_i2	121	124	126	594	592	597
NODE_40297_length_1668_cov_702.177231_g1000_i10	198	199	196	705	703	713
NODE_33339_length_2018_cov_1002.840000_g8431_i2	6847	6742	6166	9816	9600	10251
NODE_120375_length_169_cov_207.730159_g76394_i0	551	534	533	1244	1340	1263
NODE_68999_length_625_cov_920.829897_g25626_i0	2821	2972	3351	5851	5517	5739
NODE_74236_length_514_cov_289.528662_g30381_i0	268	312	283	790	777	838
NODE_60195_length_876_cov_639.110444_g19232_i0	1327	1326	1522	3051	3026	2803
NODE_41536_length_1610_cov_504.883854_g9030_i2	278	288	311	879	850	832
NODE_61411_length_837_cov_211.617128_g19983_i0	595	624	584	1183	1217	1219
NODE_81920_length_394_cov_986.168091_g37951_i0	13909	13241	11959	20379	20739	19791
NODE_73540_length_527_cov_338.983471_g29720_i0	318	357	315	814	819	819
NODE_83988_length_370_cov_362.706422_g40011_i0	25	27	33	380	351	337
NODE_67412_length_665_cov_189.963023_g24313_i0	220	219	219	642	627	674
NODE_77157_length_462_cov_334.236277_g33225_i0	110	104	104	464	481	463
NODE_59588_length_897_cov_999.225995_g18855_i0	6758	6850	7309	10282	10262	9855
NODE_68836_length_629_cov_403.313993_g25489_i0	5672	5761	6058	8157	8266	7994
NODE_70819_length_582_cov_601.601113_g27209_i0	32	31	33	321	316	321
NODE_59016_length_916_cov_1004.394044_g18529_i0	12551	12674	12256	14677	15153	15029
NODE_39135_length_1724_cov_496.291493_g9155_i1	86	91	95	440	411	425
NODE_48493_length_1309_cov_283.065561_g13547_i0	2841	2958	3056	3800	4045	4017
NODE_44334_length_1487_cov_299.011080_g12045_i0	166	161	178	608	583	539
NODE_51256_length_1198_cov_554.492641_g9873_i1	212	207	215	589	596	597
NODE_54954_length_1055_cov_409.199605_g10_i11483	64	69	57	345	349	352
NODE_52587_length_1145_cov_187.568058_g15216_i0	391	412	394	804	822	830
NODE_22759_length_2692_cov_533.601359_g2390_i6	224	235	241	636	610	612
